Half,Time,William Peace,Davidson,William Peace Score,Davidson Score
1,0:54,"GOOD FT by WHITEHURST,TYLER",,14,42
1,0:42,"FOUL by MCBRIDE,DYLAN",,14,42
1,0:42,,"GOOD FT by BLUMS,ROBERTS",14,43
1,0:42,,"GOOD FT by BLUMS,ROBERTS",14,44
1,0:18,"GOOD 3PTR by MCBRIDE,DYLAN",,17,44
1,0:18,"ASSIST by DULIN,MICHAEL",,17,44
1,0:17,Timeout,,17,44
1,0:17,"SUB OUT by MCBRIDE,DYLAN",,17,44
1,0:17,"SUB IN by GREEN,ELIJAH",,17,44
1,0:00,,"MISS LAYUP by BLUMS,ROBERTS",17,44
1,0:00,REBOUND DEF by TEAM,,17,44
2,20:00,,"SUB OUT by HURLBURT,JOE",17,44
2,20:00,,"SUB OUT by LAPUT,ZACH",17,44
2,20:00,,"SUB OUT by GHEDINI,RICCARDO",17,44
2,20:00,,"SUB OUT by KATSOCK,MICHAEL",17,44
2,20:00,,"SUB OUT by BLUMS,ROBERTS",17,44
2,20:00,,"SUB IN by BAILEY,REED",17,44
2,20:00,,"SUB IN by DURKIN,BOBBY",17,44
2,20:00,,"SUB IN by LOUGHNANE,MIKE",17,44
2,20:00,,"SUB IN by LOGAN,SEAN",17,44
2,20:00,,"SUB IN by KOCHERA,CONNOR",17,44
2,20:00,"SUB OUT by WHITEHURST,TYLER",,17,44
2,20:00,"SUB OUT by EZEONU,CHUKS",,17,44
2,20:00,"SUB IN by LOMINACK,RYAN",,17,44
2,20:00,"SUB IN by CARUSO,SULLY",,17,44
2,19:42,,"GOOD DUNK by LOGAN,SEAN",17,46
2,19:42,,"ASSIST by DURKIN,BOBBY",17,46
2,19:15,"TURNOVER by JONES,SHAWN",,17,46
2,19:15,,"STEAL by LOGAN,SEAN",17,46
2,19:09,,"GOOD 3PTR by LOUGHNANE,MIKE",17,49
2,19:09,,"ASSIST by KOCHERA,CONNOR",17,49
2,18:50,"MISS JUMPER by GREEN,ELIJAH",,17,49
2,18:42,,"REBOUND DEF by BAILEY,REED",17,49
2,18:38,,"GOOD LAYUP by KOCHERA,CONNOR",17,51
2,18:38,,"ASSIST by DURKIN,BOBBY",17,51
2,18:05,"MISS 3PTR by LOMINACK,RYAN",,17,51
2,18:01,,"REBOUND DEF by DURKIN,BOBBY",17,51
2,17:50,,"GOOD 3PTR by DURKIN,BOBBY",17,54
2,17:50,,"ASSIST by LOUGHNANE,MIKE",17,54
2,17:35,"GOOD 3PTR by GREEN,ELIJAH",,20,54
2,17:28,,"GOOD 3PTR by DURKIN,BOBBY",20,57
2,17:28,,"ASSIST by LOUGHNANE,MIKE",20,57
2,17:00,"MISS JUMPER by LOMINACK,RYAN",,20,57
2,16:56,,"REBOUND DEF by LOGAN,SEAN",20,57
2,16:39,,"MISS JUMPER by BAILEY,REED",20,57
2,16:34,,"REBOUND OFF by LOGAN,SEAN",20,57
2,16:33,,"GOOD JUMPER by BAILEY,REED",20,59
2,16:33,,"ASSIST by LOGAN,SEAN",20,59
2,16:15,"TURNOVER by GREEN,ELIJAH",,20,59
2,16:15,,"STEAL by BAILEY,REED",20,59
2,16:11,,"GOOD LAYUP by KOCHERA,CONNOR",20,61
2,16:11,,"ASSIST by BAILEY,REED",20,61
2,15:59,,"FOUL by LOGAN,SEAN",20,61
2,15:59,Timeout,,20,61
2,15:59,,"SUB OUT by BAILEY,REED",20,61
2,15:59,,"SUB OUT by LOUGHNANE,MIKE",20,61
2,15:59,,"SUB IN by LAPUT,ZACH",20,61
2,15:59,,"SUB IN by GHEDINI,RICCARDO",20,61
2,15:59,"SUB OUT by GREEN,ELIJAH",,20,61
2,15:59,"SUB OUT by LOMINACK,RYAN",,20,61
2,15:59,"SUB OUT by CARUSO,SULLY",,20,61
2,15:59,"SUB IN by WHITEHURST,TYLER",,20,61
2,15:59,"SUB IN by MCBRIDE,DYLAN",,20,61
2,15:59,"SUB IN by EZEONU,CHUKS",,20,61
2,15:39,"GOOD 3PTR by DULIN,MICHAEL",,23,61
2,15:39,"ASSIST by MCBRIDE,DYLAN",,23,61
2,15:21,,"MISS LAYUP by LAPUT,ZACH",23,61
2,15:21,"BLOCK by EZEONU,CHUKS",,23,61
2,15:11,,"REBOUND OFF by LAPUT,ZACH",23,61
2,15:10,,"MISS LAYUP by LAPUT,ZACH",23,61
2,15:10,"BLOCK by EZEONU,CHUKS",,23,61
2,15:01,"REBOUND DEF by JONES,SHAWN",,23,61
2,15:00,"MISS 3PTR by WHITEHURST,TYLER",,23,61
2,14:59,"REBOUND OFF by DULIN,MICHAEL",,23,61
2,14:59,"GOOD LAYUP by DULIN,MICHAEL",,25,61
2,14:59,,"MISS LAYUP by KOCHERA,CONNOR",25,61
2,14:59,REBOUND DEF by TEAM,,25,61
2,14:59,"SUB OUT by JONES,SHAWN",,25,61
2,14:59,"SUB IN by YOUNG,IRWIN",,25,61
2,14:29,"GOOD 3PTR by DULIN,MICHAEL",,28,61
2,14:29,"ASSIST by YOUNG,IRWIN",,28,61
2,14:17,,"GOOD LAYUP by GHEDINI,RICCARDO",28,63
2,14:17,,"ASSIST by KOCHERA,CONNOR",28,63
2,13:58,"MISS 3PTR by DULIN,MICHAEL",,28,63
2,13:52,,"REBOUND DEF by DURKIN,BOBBY",28,63
2,13:44,,"GOOD LAYUP by DURKIN,BOBBY",28,65
2,13:44,,"ASSIST by GHEDINI,RICCARDO",28,65
2,13:25,"GOOD JUMPER by WHITEHURST,TYLER",,30,65
2,13:13,,"GOOD LAYUP by DURKIN,BOBBY",30,67
2,13:13,,"ASSIST by LAPUT,ZACH",30,67
2,13:00,"GOOD JUMPER by WHITEHURST,TYLER",,32,67
2,12:36,,"MISS JUMPER by LAPUT,ZACH",32,67
2,12:32,,"REBOUND OFF by LOGAN,SEAN",32,67
2,12:31,,"MISS JUMPER by LOGAN,SEAN",32,67
2,12:24,,"REBOUND OFF by LAPUT,ZACH",32,67
2,12:24,,"GOOD TIPIN by LAPUT,ZACH",32,69
2,12:08,"GOOD 3PTR by MCBRIDE,DYLAN",,35,69
2,12:08,"ASSIST by WHITEHURST,TYLER",,35,69
2,11:49,,"GOOD LAYUP by LAPUT,ZACH",35,71
2,11:49,,"ASSIST by GHEDINI,RICCARDO",35,71
2,11:40,"MISS 3PTR by WHITEHURST,TYLER",,35,71
2,11:37,,"REBOUND DEF by KOCHERA,CONNOR",35,71
2,11:33,,"MISS LAYUP by KOCHERA,CONNOR",35,71
2,11:33,,"REBOUND OFF by KOCHERA,CONNOR",35,71
2,11:33,,"GOOD TIPIN by KOCHERA,CONNOR",35,73
2,11:33,,Timeout,35,73
2,11:33,Timeout,,35,73
2,11:33,,"SUB OUT by DURKIN,BOBBY",35,73
2,11:33,,"SUB OUT by LOGAN,SEAN",35,73
2,11:33,,"SUB OUT by GHEDINI,RICCARDO",35,73
2,11:33,,"SUB OUT by KOCHERA,CONNOR",35,73
2,11:33,,"SUB IN by JOSES,MANIE",35,73
2,11:33,,"SUB IN by HURLBURT,JOE",35,73
2,11:33,,"SUB IN by ADAM,HUNTER",35,73
2,11:33,,"SUB IN by BLUMS,ROBERTS",35,73
2,11:33,"SUB OUT by DULIN,MICHAEL",,35,73
2,11:33,"SUB OUT by MCBRIDE,DYLAN",,35,73
2,11:33,"SUB OUT by EZEONU,CHUKS",,35,73
2,11:33,"SUB OUT by YOUNG,IRWIN",,35,73
2,11:33,"SUB IN by HODGSON,PARKER",,35,73
2,11:33,"SUB IN by GREEN,ELIJAH",,35,73
2,11:33,"SUB IN by CATHCART,ELIJAH",,35,73
2,11:33,"SUB IN by CARUSO,SULLY",,35,73
2,11:01,"GOOD 3PTR by WHITEHURST,TYLER",,38,73
2,11:01,"ASSIST by GREEN,ELIJAH",,38,73
2,10:45,,"MISS 3PTR by HURLBURT,JOE",38,73
2,10:41,"REBOUND DEF by CARUSO,SULLY",,38,73
2,10:35,"GOOD 3PTR by WHITEHURST,TYLER",,41,73
2,10:33,Timeout,,41,73
2,10:33,Timeout,,41,73
2,10:12,"FOUL by CATHCART,ELIJAH",,41,73
2,10:12,,"MISS FT by LAPUT,ZACH",41,73
2,10:12,,REBOUND DEADB by TEAM,41,73
2,10:12,,"GOOD FT by LAPUT,ZACH",41,74
2,10:04,"TURNOVER by CARUSO,SULLY",,41,74
2,9:55,,"FOUL by HURLBURT,JOE",41,74
2,9:55,,"TURNOVER by HURLBURT,JOE",41,74
2,9:48,,"FOUL by BLUMS,ROBERTS",41,74
2,9:31,"GOOD LAYUP by WHITEHURST,TYLER",,43,74
2,9:16,,"MISS JUMPER by JOSES,MANIE",43,74
2,9:12,"REBOUND DEF by GREEN,ELIJAH",,43,74
2,8:59,"MISS LAYUP by CARUSO,SULLY",,43,74
2,8:56,,"REBOUND DEF by HURLBURT,JOE",43,74
2,8:45,,"TURNOVER by BLUMS,ROBERTS",43,74
2,8:45,"STEAL by CARUSO,SULLY",,43,74
2,8:38,"TURNOVER by CATHCART,ELIJAH",,43,74
2,8:38,,"STEAL by ADAM,HUNTER",43,74
2,8:15,,"MISS 3PTR by BLUMS,ROBERTS",43,74
2,8:11,"REBOUND DEF by HODGSON,PARKER",,43,74
2,8:05,"GOOD 3PTR by HODGSON,PARKER",,46,74
2,8:05,"ASSIST by GREEN,ELIJAH",,46,74
2,8:05,,Timeout,46,74
2,8:05,Timeout,,46,74
2,8:05,,"SUB OUT by JOSES,MANIE",46,74
2,8:05,,"SUB OUT by ADAM,HUNTER",46,74
2,8:05,,"SUB IN by BAILEY,REED",46,74
2,8:05,,"SUB IN by LOUGHNANE,MIKE",46,74
2,8:05,"SUB OUT by WHITEHURST,TYLER",,46,74
2,8:05,"SUB OUT by GREEN,ELIJAH",,46,74
2,8:05,"SUB OUT by CATHCART,ELIJAH",,46,74
2,8:05,"SUB OUT by CARUSO,SULLY",,46,74
2,8:05,"SUB IN by JONES,SHAWN",,46,74
2,8:05,"SUB IN by DULIN,MICHAEL",,46,74
2,8:05,"SUB IN by MCBRIDE,DYLAN",,46,74
2,8:05,"SUB IN by EZEONU,CHUKS",,46,74
2,7:47,,"GOOD JUMPER by BAILEY,REED",46,76
2,7:47,,"ASSIST by LOUGHNANE,MIKE",46,76
2,7:30,"MISS LAYUP by EZEONU,CHUKS",,46,76
2,7:26,,"REBOUND DEF by BAILEY,REED",46,76
2,7:15,"FOUL by EZEONU,CHUKS",,46,76
2,7:15,,"MISS FT by BAILEY,REED",46,76
2,7:15,,REBOUND DEADB by TEAM,46,76
2,7:15,,"GOOD FT by BAILEY,REED",46,77
2,6:57,"MISS 3PTR by DULIN,MICHAEL",,46,77
2,6:52,,"REBOUND DEF by HURLBURT,JOE",46,77
2,6:39,,"MISS 3PTR by LOUGHNANE,MIKE",46,77
2,6:36,"REBOUND DEF by MCBRIDE,DYLAN",,46,77
2,6:28,"MISS JUMPER by MCBRIDE,DYLAN",,46,77
2,6:24,,"REBOUND DEF by BAILEY,REED",46,77
2,6:08,,"MISS 3PTR by LAPUT,ZACH",46,77
2,6:04,"REBOUND DEF by JONES,SHAWN",,46,77
2,5:55,"MISS LAYUP by JONES,SHAWN",,46,77
2,5:55,,REBOUND DEF by TEAM,46,77
2,5:55,,"SUB OUT by LAPUT,ZACH",46,77
2,5:55,,"SUB OUT by BAILEY,REED",46,77
2,5:55,,"SUB IN by JOSES,MANIE",46,77
2,5:55,,"SUB IN by ADAM,HUNTER",46,77
2,5:55,"SUB OUT by HODGSON,PARKER",,46,77
2,5:55,"SUB IN by LOMINACK,RYAN",,46,77
2,5:55,,"SUB OUT by HURLBURT,JOE",46,77
2,5:55,,"SUB IN by GHEDINI,RICCARDO",46,77
2,5:55,"SUB OUT by MCBRIDE,DYLAN",,46,77
2,5:55,"SUB IN by GREEN,ELIJAH",,46,77
2,5:42,,"GOOD LAYUP by LOUGHNANE,MIKE",46,79
2,5:42,,"ASSIST by GHEDINI,RICCARDO",46,79
2,5:26,,"FOUL by ADAM,HUNTER",46,79
2,5:26,"SUB OUT by JONES,SHAWN",,46,79
2,5:26,"SUB OUT by EZEONU,CHUKS",,46,79
2,5:26,"SUB IN by YOUNG,IRWIN",,46,79
2,5:26,"SUB IN by CARUSO,SULLY",,46,79
2,5:10,"TURNOVER by CARUSO,SULLY",,46,79
2,5:10,,"STEAL by BLUMS,ROBERTS",46,79
2,5:05,,"GOOD DUNK by JOSES,MANIE",46,81
2,5:05,,"ASSIST by BLUMS,ROBERTS",46,81
2,4:52,,"FOUL by GHEDINI,RICCARDO",46,81
2,4:49,"TURNOVER by GREEN,ELIJAH",,46,81
2,4:49,,"STEAL by BLUMS,ROBERTS",46,81
2,4:40,,"GOOD LAYUP by BLUMS,ROBERTS",46,83
2,4:19,"MISS 3PTR by YOUNG,IRWIN",,46,83
2,4:16,,"REBOUND DEF by BLUMS,ROBERTS",46,83
2,4:02,,"MISS JUMPER by LOUGHNANE,MIKE",46,83
2,3:58,"REBOUND DEF by YOUNG,IRWIN",,46,83
2,3:52,,"FOUL by ADAM,HUNTER",46,83
2,3:52,Timeout,,46,83
2,3:52,,"SUB OUT by LOUGHNANE,MIKE",46,83
2,3:52,,"SUB OUT by ADAM,HUNTER",46,83
2,3:52,,"SUB OUT by BLUMS,ROBERTS",46,83
2,3:52,,"SUB IN by HURLBURT,JOE",46,83
2,3:52,,"SUB IN by KATSOCK,MICHAEL",46,83
2,3:52,,"SUB IN by MATHENY,BROCK",46,83
2,3:52,"SUB OUT by DULIN,MICHAEL",,46,83
2,3:52,"SUB OUT by GREEN,ELIJAH",,46,83
2,3:52,"SUB IN by WHITEHURST,TYLER",,46,83
2,3:52,"SUB IN by HODGSON,PARKER",,46,83
2,3:38,"MISS JUMPER by LOMINACK,RYAN",,46,83
2,3:34,"REBOUND OFF by WHITEHURST,TYLER",,46,83
2,3:23,"MISS 3PTR by WHITEHURST,TYLER",,46,83
2,3:19,,"REBOUND DEF by HURLBURT,JOE",46,83
2,3:08,,"MISS 3PTR by MATHENY,BROCK",46,83
2,3:05,"REBOUND DEF by YOUNG,IRWIN",,46,83
2,2:50,"TURNOVER by LOMINACK,RYAN",,46,83
2,2:50,,"SUB OUT by JOSES,MANIE",46,83
2,2:50,,"SUB IN by ZIMMERMAN,LUKE",46,83
2,2:25,,"GOOD JUMPER by KATSOCK,MICHAEL",46,85
2,2:13,"TURNOVER by HODGSON,PARKER",,46,85
2,2:13,"SUB OUT by LOMINACK,RYAN",,46,85
2,2:13,"SUB OUT by CARUSO,SULLY",,46,85
2,2:13,"SUB IN by CATHCART,ELIJAH",,46,85
2,2:13,"SUB IN by BALLOU,CONNOR",,46,85
2,1:55,,"MISS 3PTR by MATHENY,BROCK",46,85
2,1:53,"REBOUND DEF by HODGSON,PARKER",,46,85
2,1:49,,"FOUL by KATSOCK,MICHAEL",46,85
2,1:49,"GOOD FT by YOUNG,IRWIN",,47,85
2,1:49,"MISS FT by YOUNG,IRWIN",,47,85
2,1:49,,"REBOUND DEF by GHEDINI,RICCARDO",47,85
2,1:39,"FOUL by CATHCART,ELIJAH",,47,85
2,1:39,,"MISS FT by HURLBURT,JOE",47,85
2,1:39,,REBOUND DEADB by TEAM,47,85
2,1:39,,"GOOD FT by HURLBURT,JOE",47,86
2,1:39,"SUB OUT by WHITEHURST,TYLER",,47,86
2,1:39,"SUB IN by HARTZELL,JACKSON",,47,86
2,1:28,"TURNOVER by HODGSON,PARKER",,47,86
2,1:19,,"GOOD LAYUP by GHEDINI,RICCARDO",47,88
2,1:03,"MISS 3PTR by CATHCART,ELIJAH",,47,88
2,0:59,,"REBOUND DEF by GHEDINI,RICCARDO",47,88
2,0:48,,"MISS 3PTR by GHEDINI,RICCARDO",47,88
2,0:45,"REBOUND DEF by HARTZELL,JACKSON",,47,88
2,0:31,"MISS 3PTR by CATHCART,ELIJAH",,47,88
2,0:26,,"REBOUND DEF by GHEDINI,RICCARDO",47,88
2,0:02,,"MISS 3PTR by MATHENY,BROCK",47,88
2,0:00,REBOUND DEF by TEAM,,47,88